ts_code,name,industry
000629.SZ,钒钛股份,材料
000630.SZ,铜陵有色,材料
000631.SZ,顺发恒业,房地产
000632.SZ,三木集团,工业
000633.SZ,合金投资,材料
000635.SZ,英力特,材料
000636.SZ,风华高科,信息技术
000637.SZ,ST实华,材料
000638.SZ,万方发展,工业
000639.SZ,西王食品,日常消费
000650.SZ,仁和药业,医疗保健
000651.SZ,格力电器,可选消费
000652.SZ,泰达股份,工业
000655.SZ,金岭矿业,材料
000656.SZ,金科股份,房地产
000657.SZ,中钨高新,材料
000659.SZ,珠海中富,材料
000661.SZ,长春高新,医疗保健
000663.SZ,永安林业,可选消费
000665.SZ,湖北广电,可选消费
000668.SZ,荣丰控股,医疗保健
000669.SZ,ST金鸿,公用事业
000670.SZ,盈方微,信息技术
000672.SZ,上峰水泥,材料
000676.SZ,智度股份,信息技术
000677.SZ,恒天海龙,材料
000678.SZ,襄阳轴承,可选消费
000679.SZ,大连友谊,可选消费
000680.SZ,山推股份,工业
000681.SZ,视觉中国,可选消费
000682.SZ,东方电子,工业
000683.SZ,远兴能源,材料
000685.SZ,中山公用,公用事业
000686.SZ,东北证券,金融
000688.SZ,国城矿业,材料
000690.SZ,宝新能源,公用事业
000691.SZ,亚太实业,材料
000692.SZ,*ST惠天,公用事业
000695.SZ,滨海能源,工业
000697.SZ,*ST炼石,工业
000698.SZ,沈阳化工,材料
000700.SZ,模塑科技,可选消费
000701.SZ,厦门信达,工业
000702.SZ,正虹科技,日常消费
000703.SZ,恒逸石化,材料
000705.SZ,浙江震元,医疗保健
000707.SZ,双环科技,材料
000708.SZ,中信特钢,材料
000709.SZ,河钢股份,材料
000710.SZ,贝瑞基因,医疗保健
000711.SZ,*ST京蓝,工业
000712.SZ,锦龙股份,金融
000713.SZ,丰乐种业,日常消费
000715.SZ,中兴商业,可选消费
000716.SZ,黑芝麻,日常消费
000717.SZ,中南股份,材料
000718.SZ,苏宁环球,房地产
000719.SZ,中原传媒,可选消费
000720.SZ,新能泰山,工业
000721.SZ,西安饮食,可选消费
000722.SZ,湖南发展,公用事业
000723.SZ,美锦能源,能源
000725.SZ,京东方A,信息技术
000726.SZ,鲁泰A,可选消费
000727.SZ,冠捷科技,信息技术
000728.SZ,国元证券,金融
000729.SZ,燕京啤酒,日常消费
000731.SZ,四川美丰,材料
000733.SZ,振华科技,信息技术
000735.SZ,罗牛山,日常消费
000736.SZ,中交地产,房地产
000737.SZ,北方铜业,材料
000738.SZ,航发控制,工业
000739.SZ,普洛药业,医疗保健
000750.SZ,国海证券,金融
000751.SZ,锌业股份,材料
000752.SZ,*ST西发,日常消费
000753.SZ,漳州发展,可选消费
000755.SZ,山西路桥,工业
000756.SZ,新华制药,医疗保健
000757.SZ,浩物股份,可选消费
000758.SZ,中色股份,材料
000759.SZ,中百集团,日常消费
000761.SZ,本钢板材,材料
000762.SZ,西藏矿业,材料
000766.SZ,通化金马,医疗保健
000767.SZ,晋控电力,公用事业
000768.SZ,中航西飞,工业
000776.SZ,广发证券,金融
000777.SZ,中核科技,工业
000778.SZ,新兴铸管,材料
000779.SZ,甘咨询,工业
000782.SZ,美达股份,材料
000783.SZ,长江证券,金融
000785.SZ,居然之家,可选消费
000786.SZ,北新建材,材料
000788.SZ,北大医药,医疗保健
000789.SZ,万年青,材料
000790.SZ,华神科技,医疗保健
000791.SZ,甘肃能源,公用事业
000792.SZ,盐湖股份,材料
000793.SZ,华闻集团,可选消费
000795.SZ,英洛华,材料
000796.SZ,*ST凯撒,可选消费
000797.SZ,中国武夷,房地产
000798.SZ,中水渔业,日常消费
000799.SZ,酒鬼酒,日常消费
000800.SZ,一汽解放,可选消费
000801.SZ,四川九洲,可选消费
000802.SZ,北京文化,可选消费
000803.SZ,山高环能,工业
000807.SZ,云铝股份,材料
000809.SZ,铁岭新城,公用事业
000810.SZ,创维数字,信息技术
000811.SZ,冰轮环境,工业
000812.SZ,陕西金叶,工业
000813.SZ,德展健康,医疗保健
000815.SZ,美利云,材料
000816.SZ,智慧农业,工业
000818.SZ,航锦科技,材料
000819.SZ,岳阳兴长,材料
000820.SZ,神雾节能,工业
000821.SZ,京山轻机,工业
000822.SZ,山东海化,材料
000823.SZ,超声电子,信息技术
000825.SZ,太钢不锈,材料
000826.SZ,启迪环境,工业
000828.SZ,东莞控股,工业
000829.SZ,天音控股,信息技术
000830.SZ,鲁西化工,材料
000831.SZ,中国稀土,材料
000833.SZ,粤桂股份,工业
000836.SZ,富通信息,信息技术
000837.SZ,秦川机床,工业
000838.SZ,财信发展,房地产
000839.SZ,ST国安,可选消费
000848.SZ,承德露露,日常消费
000850.SZ,华茂股份,可选消费
000851.SZ,高鸿股份,可选消费
000852.SZ,石化机械,能源
000856.SZ,冀东装备,工业
000858.SZ,五粮液,日常消费
000859.SZ,国风新材,材料
000860.SZ,顺鑫农业,日常消费
000861.SZ,海印股份,房地产
000862.SZ,银星能源,公用事业
000863.SZ,三湘印象,房地产
000868.SZ,安凯客车,可选消费
000869.SZ,张裕A,日常消费
000875.SZ,吉电股份,公用事业
000876.SZ,新希望,日常消费
000877.SZ,天山股份,材料
000878.SZ,云南铜业,材料
000880.SZ,潍柴重机,工业
000881.SZ,中广核技,工业
000882.SZ,华联股份,房地产
000883.SZ,湖北能源,公用事业
000885.SZ,城发环境,工业
000886.SZ,海南高速,房地产
000887.SZ,中鼎股份,可选消费
000888.SZ,峨眉山A,可选消费
000889.SZ,ST中嘉,信息技术
000890.SZ,法尔胜,材料
