trade_date,open,high,low,close,volume
2021-01-26,6621.1481,6624.4493,6515.2584,6532.9610,14337131100.0000
2021-01-27,6527.6804,6564.2855,6481.1571,6557.1608,13976004900.0000
2021-01-28,6475.8609,6529.8416,6405.8135,6414.3811,14482540600.0000
2021-01-29,6448.6697,6462.3739,6255.7033,6346.1371,14604158100.0000
2021-02-01,6338.6445,6397.0135,6328.3355,6393.2780,13732518300.0000
2021-02-02,6404.8530,6459.4797,6361.0882,6454.7853,13239431300.0000
2021-02-03,6459.6641,6484.4931,6399.3315,6399.3315,14545715500.0000
2021-02-04,6375.6723,6414.2983,6249.5311,6328.7881,14886133000.0000
2021-02-05,6343.8303,6382.9572,6236.2674,6239.8709,13513287900.0000
2021-02-08,6247.9190,6354.0199,6215.7284,6323.1622,11613400400.0000
2021-02-09,6334.4163,6468.4281,6330.7920,6457.8814,11931911000.0000
2021-02-10,6474.7495,6542.7450,6424.7212,6525.1658,11904265900.0000
2021-02-18,6657.3065,6678.6126,6564.3061,6614.5443,16689239200.0000
2021-02-19,6600.2459,6706.3901,6542.7821,6703.4821,17876781700.0000
2021-02-22,6731.5054,6810.9223,6657.0560,6657.0560,23706558500.0000
2021-02-23,6613.6014,6701.4296,6609.0782,6631.2286,19265686600.0000
2021-02-24,6633.2823,6661.4326,6477.7512,6536.1861,17371883200.0000
2021-02-25,6600.2054,6609.5637,6484.5547,6499.1528,16206818200.0000
2021-02-26,6365.7385,6446.9461,6346.1326,6364.3529,15076020600.0000
2021-03-01,6407.1642,6491.9367,6404.8885,6488.4388,15860843700.0000
2021-03-02,6514.0213,6514.0213,6386.4903,6433.3282,16587706900.0000
2021-03-03,6426.0369,6528.2217,6420.2068,6524.7513,17101752400.0000
2021-03-04,6482.7869,6485.1639,6371.7302,6401.9917,19433461600.0000
2021-03-05,6325.7517,6442.0155,6319.5318,6403.4964,16650488500.0000
2021-03-08,6453.7799,6488.8190,6253.6974,6256.4092,16854633900.0000
2021-03-09,6235.3139,6250.9352,6033.4082,6108.0027,19643268600.0000
2021-03-10,6164.7682,6179.8543,6053.0186,6062.2552,14255427900.0000
2021-03-11,6074.3345,6213.9343,6045.5492,6213.8319,16081464300.0000
2021-03-12,6231.4849,6232.5006,6137.9903,6222.3802,17574617800.0000
2021-03-15,6192.2990,6229.5721,6111.3575,6173.8721,17079969100.0000
2021-03-16,6176.0685,6222.1819,6124.7770,6195.2438,15284599200.0000
2021-03-17,6180.8928,6230.5590,6124.0498,6225.3588,13484039600.0000
2021-03-18,6231.1932,6300.9446,6227.1926,6273.8556,14072566500.0000
2021-03-19,6195.2534,6258.1321,6167.5070,6206.6023,14323827500.0000
2021-03-22,6208.9317,6307.5479,6206.0810,6305.6919,14304144500.0000
2021-03-23,6307.9803,6307.9803,6181.1338,6219.1666,15096405200.0000
2021-03-24,6180.3124,6232.1309,6131.8232,6142.5439,14767311100.0000
2021-03-25,6118.8697,6190.9381,6108.2613,6157.4072,12930709300.0000
2021-03-26,6164.8237,6264.5552,6164.8237,6251.7941,12888761000.0000
2021-03-29,6269.9988,6277.7649,6215.7980,6254.9426,13963389400.0000
2021-03-30,6239.4695,6287.8738,6217.3269,6280.3590,13440958400.0000
2021-03-31,6277.6960,6277.6960,6205.9386,6254.0695,12512849200.0000
2021-04-01,6259.4135,6321.5796,6238.3074,6311.6644,13037481800.0000
2021-04-02,6316.5561,6341.6545,6291.7144,6326.6059,12393887100.0000
2021-04-06,6345.8913,6367.7849,6323.2422,6343.0962,11148915800.0000
2021-04-07,6350.3783,6350.3783,6289.0653,6348.0761,15001677500.0000
2021-04-08,6332.9263,6385.1951,6309.1232,6356.7526,17374127800.0000
2021-04-09,6345.2896,6360.4497,6307.6558,6335.2393,14130690000.0000
2021-04-12,6325.2643,6344.1623,6203.5690,6226.4182,15544143900.0000
2021-04-13,6210.2229,6254.8970,6193.8091,6209.7801,13038770900.0000
2021-04-14,6206.6373,6287.8377,6206.6373,6277.2111,11743821700.0000
2021-04-15,6263.6281,6281.4258,6211.6602,6276.4609,11977617600.0000
2021-04-16,6283.8616,6344.9465,6276.4319,6339.5906,12676465300.0000
2021-04-19,6331.7097,6431.7772,6315.0828,6425.2606,14220093000.0000
2021-04-20,6419.7312,6467.3806,6410.2782,6428.5411,13467452300.0000
2021-04-21,6396.2721,6434.6303,6369.7696,6420.2587,12105173300.0000
2021-04-22,6444.2841,6472.8037,6424.7538,6445.4657,12492387700.0000
2021-04-23,6445.5162,6463.9749,6412.9875,6462.7558,12611730600.0000
2021-04-26,6480.3000,6546.6427,6437.1905,6442.6451,14496413900.0000
2021-04-27,6434.6133,6466.2520,6399.4358,6446.2822,12589471200.0000
